,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure
3810,Unprovoked,diving,F,27,FATAL,Y,9999,Not Determined,19320620,FIJI Yasawa Islands Nabukeru ,-16.8417744,177.4668858,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3811,Unprovoked,diving,M,27,FATAL,Y,9999,Not Determined,19320512,AUSTRALIA Torres Strait Near Warrior Reefs,-9.5833333,143.1666667,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3812,Unprovoked,diving,M,27,Severe injury to forearm near elbow,N,9999,Not Determined,19875253,AUSTRALIA Torres Strait Thursday Island,-10.5802361,142.2210964,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3813,Unprovoked,standing,M,27,"FATAL, torso bitten ",Y,9999,Not Determined,19320416,PHILIPPINES Manila Fort Mills,14.3858042,120.5805055,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3814,Unprovoked,standing,F,27,"FATAL, torso bitten ",Y,9999,Not Determined,19320416,PHILIPPINES Manila Fort Mills,14.3858042,120.5805055,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3815,Unprovoked,swimming,M,27,Two 6-inch lacerations,N,9999,Not Determined,19320216,"USA Hawaii 1 mile off Mala Wharf, Lahaina, Maui",20.8838797,-156.6860174,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3816,Unprovoked,fishing,M,27,Foot bitten,N,9999,Not Determined,19320213,AUSTRALIA Queensland Calliope River,-23.9815319,151.0075239,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3817,Unprovoked,working,M,27,"FATAL, died next day at 03h00",Y,9999,Not Determined,19320208,PHILIPPINES Manila Fort Mills,14.3858042,120.5805055,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3818,Unprovoked,swimming,M,27,Thigh bitten,N,1800,A small shark,19320127,AUSTRALIA Queensland Ipswich,-27.614614,152.7608421,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3819,Provoked,fishing,M,36,Hooked shark capsized rowboat & the 2 men were drowned PROVOKED INCIDENT,Y,9999,Not Determined,19320106,MEXICO Baja California Descano Point,32.5666181,-116.6074282,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3820,Unprovoked,collecting,M,23,"Right shin, calf and sole of foot lacerated",N,9999,"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5'] ",19875253,"SOUTH AFRICA Eastern Cape Province Kowie River Mouth, Port Alfred",-33.4711397,26.7123202,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3821,Unprovoked,diving,M,45,Left foot acerated,N,9999,4 m [13'] shark,19311126,AUSTRALIA Torres Strait Barrier Reef near Innisfail,-10.3333333,142.5,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3822,Unprovoked,diving,M,27,FATAL,Y,1200,Not Determined,19310927,"JAMAICA Kingston Parish East Beach, Kingston",17.9700909,-76.7925534,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3823,Unprovoked,swimming,M,27,Minor injury,N,9999,Not Determined,19310921,"USA Florida Municipal Beach, West Palm Beach, Palm Beach County",26.6995753,-80.0330578,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3824,Unprovoked,swimming,F,20,Right thigh & calf lacerated,N,9999,"Hammerhead shark, 2.4 m [8'], according to lifeguard Sam Barrows",19310921,"USA Florida Municipal Beach, West Palm Beach, Palm Beach County",26.6995753,-80.0330578,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3825,Unprovoked,swimming,M,18,FATAL  (Wire netting installed at local beaches after this incident.),Y,9999,Not Determined,19310831,"CUBA Havana Province Vedado Baths, Miramar, Havana",23.129515,-82.39667,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3826,Unprovoked,swimming,M,23,"FATAL, right leg bitten ",Y,9999,Not Determined,19310825,"CUBA Havana Province Miramar subdivision, Havana",23.1230772,-82.4196748,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3827,Unprovoked,swimming,M,27,"FATAL, ""rescuers saw shark trying to drag him under by the leg"" ",Y,9999,Not Determined,19310823,"CUBA Havana Province Miramar, Havana",23.1230772,-82.4196748,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3828,Unprovoked,swimming,M,27,Minor injury,N,9999,Not Determined,19310818,USA Texas Off Brownsville,25.9017472,-97.4974838,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3829,Unprovoked,fell,M,27,FATAL,Y,9999,Not Determined,19310801,AUSTRALIA Queensland Port Douglas,-16.4839732,145.4622522,24.041155660377356,0.5,12.665633608815426,1016.2291060291059
