,Date,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude
4914,1949,Unprovoked,no activity,Not Determined,,FATAL,Y,9999,Not Determined,19490000,"NEW GUINEA Calvados Archipelago Sabara Island, Calvados Chain 11.4S, 153E",-5.0122202,141.3470159
4915,1949,Unprovoked,no activity,M,,"Leg bitten, surgically amputated",N,9999,Not Determined,19490000,"PAPUA NEW GUINEA New Ireland Province Kulengei, southeast of Kalili, Kavieng",-2.5781167,150.8086082
4916,1949,Unprovoked,no activity,M,,Hand & shoulder bitten,N,9999,Not Determined,19490000,"PAPUA NEW GUINEA New Ireland Province Enang , Kavieng",-2.5781167,150.8086082
4917,1949,Unprovoked,spearfishing,M,18,"FATAL, ""Nearly bitten in two through loin"".",Y,9999,Not Determined,19490000,"PAPUA NEW GUINEA Bougainville (North Solomons) Orava (Aravo) Islet , near Kieta. ",-6.2204747,155.6376301
4918,1949,Unprovoked,swimming,M,,Hand severed,N,9999,Not Determined,19490000,"PAPUA NEW GUINEA Bougainville (North Solomons) Sohano Island, Buka Passage",-5.4462259,154.6673497
4919,1949,Unprovoked,swimming,M,,"FATAL. One man's abdomen removed, the other received severe multiple injuries.",Y,9999,Not Determined,19490000,"NEW GUINEA Abau Sub District, Central Province Kerpuna ",-10.0418176,148.5715244
4920,27-Dec-1948,Unprovoked,swimming,M,17,"FATAL, disappeared while swimming  ",Y,9999,His hand was found in a 2.4 m [8'] tiger shark caught 1/5/1949,19481227,AUSTRALIA Western Australia Lancelin Island,-31.0070329,115.3167243
4921,26-Dec-1948,Unprovoked,treading,M,28,"FATAL, left hand severed, left leg arm bitten, tissue removed hip to knee  ",Y,1130,Not Determined,19481226,"AUSTRALIA Queensland Kings Beach, Caloundra",0.0,0.0
4922,14-Dec-1948,Unprovoked,no activity,M,19,Left thumb severed,N,9999,Not Determined,19481214,IRAN Shat-Al-Arab River Abadan,30.8322839,47.557984
4923,14-Dec-1948,Unprovoked,were,M,14,"2 hours later shark bit Jeppsens feet, arm, knee & finally killed him. Tony, clothing torn but alive, washed ashore on Cuban coast",N,9999,Not Determined,19481214,CUBA Guantanamo Province 10 miles off Cape Maisi,0.0,0.0
4924,10-Dec-1948,Unprovoked,fishing,M,,Hand injured,N,9999,Not Determined,19481210,AUSTRALIA Queensland Rib Reef off Townsville,-19.2589635,146.8169483
4926, 18-Nov-1948,Unprovoked,diving,M,41,Leg bitten,N,9999,Not Determined,19481118,"AUSTRALIA Torres Strait Saibai Island, 80 miles north of Cape York",-9.405128399999999,142.6921001
4927,22-Sep-1948,Unprovoked,swimming,M,17,FATAL,Y,1600,Said to be 6.4 m [21'] shark,19480922,GREECE Attica Keratsini ,37.9643568,23.6215313
4928,19-Sep-1948,Unprovoked,swimming,M,,Leg bitten,N,9999,Not Determined,19480919,"USA Hawaii Off Makapauu Point, O'ahu",21.311051,-157.6601154
4929,19-Sep-1948,Unprovoked,fishing,M,,Survived,N,9999,Not Determined,19480919,"USA Hawaii Off Makapauu Point, O'ahu",21.311051,-157.6601154
