,Date,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude
4681,07-Jul-1955,Unprovoked,swimming,F,,"FATAL, back lacerated, arm & leg severed  ",Y,9999,2.4 m [8']  shark,19550707,YEMEN Aden Telegraph Bay,12.533115,47.922363
4682,08-May-1955,Provoked,spearfishing,M,28,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,9999,2 m [6.75'] shark,19550508,"USA California Malibu, Los Angeles County",34.0259216,-118.7797571
4683,May 1955,Unprovoked,spearfishing,M,,"Right forearm severely lacerated, left arm & hand lacerated",N,1200,Not Determined,19550500,"PAPUA NEW GUINEA Admiralty Islands, Manus Province Lou Island, south of Manus Island",-2.0941169,146.8760951
4686,Apr-1955,Unprovoked,fishing,M,,Hand bitten,N,9999,Not Determined,19550400,"USA Hawaii Hilo, Hawai'i",19.7241106,-155.0868193
4687,09-Mar-1955,Unprovoked,surfing,M,22,FATAL,Y,1800,Not Determined,19550309,AUSTRALIA New South Wales Wamberal,-33.418,151.443
4688,Mar-1955,Unprovoked,swimming,M,,Left leg bitten,N,9999,"""small brown-colored shark""",19550300,"PAPUA NEW GUINEA New Ireland, Bismarck Archipelago Kabiman, West coast",-5.0,150.0
4689,Mar-1955,Provoked,competing,M,25,Leg of wetsuit torn after spear fired at shark  PROVOKED INCIDENT,N,1155,Not Determined,19550300,AUSTRALIA Western Australia Woodmans Point,0.0,0.0
4690,10-Feb-1955,Unprovoked,diving,M,,"No injury, shark bumped diver's face",N,9999,"Leopard shark, 3' Triakis semifasciata, identified by J.W. DeWitt (1955)",19550210,"USA California Trinidad Bay, Humboldt County",41.05929099999999,-124.1431246
4691,06-Feb-1955,Unprovoked,spearfishing,M,19,"Swimfin & 2 wool socks removed by shark, suit torn",N,1200,"White shark, 5 m to 6 m [16.5' to 20] ",19550206,"USA California Pacific Grove, Monterey County",36.6177374,-121.9166215
4692,05-Feb-1955,Unprovoked,swimming,M,25,"FATAL, legs bitten ",Y,1435,3.6 m  white shark  (or bronze whaler),19550205,"AUSTRALIA New South Wales Sugarloaf Bay, Middle Harbor, Sydney",-33.7831723,151.2231308
4693,04-Feb-1955,Unprovoked,fishing,M,25,Leg bitten,N,9999,Not Determined,19550204,"INDIA Tamil Nadu Vanagiri, Madras (Chennai), Bay of Bengal",12.8764475,80.22557499999999
4696,17-Jan-1955,Unprovoked,hunting,M,13,"FATAL, anterior left leg & right calf bitten, no tissue lost  ",Y,1430,"Bronze whaler shark,3.7 m [12'] ",19550117,"AUSTRALIA New South Wales Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",-33.821761,151.2511388
4697,15-Jan-1955,Unprovoked,crossing,M,,"FATAL, leg bitten ",Y,1800,Not Determined,19550115,SOUTH AFRICA KwaZulu-Natal A ford known as Brodies Coffin in St. Lucia Bay,-28.5305539,30.8958242
4699,1955,Provoked,fishing,M,,Forearm slashed wrist to elbow by hooked shark he was trying to club to death  PROVOKED INCIDENT,N,9999,"""a little shark""",19550000,CUBA Havana Province Cojimar,23.1627464,-82.2994793
4702,Ca. 1955 ,Unprovoked,spearfishing,M,12,Swim fin & foot bitten,N,9999,1.5 m [5'] shark,19550000,COLUMBIA Isles del Rosario Southwest of Cartegena,10.1970132,-75.76039999999999
4703,1955,Unprovoked,no activity,M,,Back bitten,N,9999,Not Determined,19550000,PAPUA NEW GUINEA New Ireland Lavongai,-2.5164284,150.257396
4704,29-Dec-1954,Unprovoked,dived,M,27,FATAL,Y,9999,Not Determined,19541229,AMERICAN SAMOA Tutuila Island Near tuna cannery in Pago Pago Harbor,-14.2734873,-170.6840121
4705,11-Dec-1954,Unprovoked,swimming,M,23,FATAL,Y,1100,Not Determined,19541211,AUSTRALIA Victoria Point Lonsdale,-38.28333300000001,144.6
4706,09-Dec-1954,Unprovoked,swimming,M,,"FATAL, abdomen & thigh bitten",Y,1320,Not Determined,19541209,"PAPUA NEW GUINEA Central Province Kila Beach, Port Moresby",-9.1360187,147.4627259
4707,04-Dec-1954,Unprovoked,swimming,M,16,Shallow lacerations on torso,N,1100,Not Determined,19541204,"SOUTH AFRICA KwaZulu-Natal Rocket Hut Beach, Durban",-29.8078469,31.03837559999999
4708,20-Nov-1954,Unprovoked,spearfishing,M,,Shoulder bitten,N,1500,"Blacktip reef shark, 1.5 m [5'] ",19541120,USA Wake Island Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands),19.279619,166.6499348
4710,06-Oct-1954,Provoked,fishing,M,62,Arm broken by tail of netted shark PROVOKED INCIDENT,N,9999,20' shark,19541006,UNITED KINGDOM Isle of Man Off Fleetwood,54.1525769,-4.479492899999999
4713,21-Sep-1954,Unprovoked,swimming,M,35,Minor bruises & abrasions on leg,N,9999,1.5 m [5'] shark,19540921,"USA California La Jolla, San Diego County",32.8328112,-117.2712717
4715,04-Sep-1954,Unprovoked,hunting,M,35,"FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died ",Y,9999,9' shark,19540904,"AUSTRALIA Torres Strait Darnley Island, Torres Strait",-9.5974691,143.7614205
4716,19955,Unprovoked,spearfishing,M,27,Abdomen injured,N,9999,Not Determined,19540819,ITALY Liguaria Finale Ligure,44.1689028,8.3416211
4717,14-Aug-1954,Provoked,fishing,M,,Right leg bitten when chasing shark from his fishing line PROVOKED INCIDENT,N,9999,"""sand shark""",19540814,"USA New Jersey Barnegat Light, Ocean County",39.7576202,-74.1062466
4718,12-Aug-1954,Provoked,spearfishing,M,,Knee bitten by shark that his dive buddy had shot  PROVOKED INCIDENT,N,9999,"Nurse shark, 58"", 34-lb ",19540812,CUBA Guantanamo Province Boqueron,19.983668,-75.1165915
4719,12-Aug-1954,Provoked,spearfishing,M,,Right thigh & left calf injured by speared shark  PROVOKED INCIDENT,N,9999,"Nurse shark, 58"", 34-lb ",19540812,CUBA Guantanamo Province Boqueron,19.983668,-75.1165915
4720,10-Aug-1954,Unprovoked,wading,F,27,6 puncture wounds to lower leg,N,2100,Not Determined,19540810,USA Louisiana Lake Pontchartrain,30.205062,-90.11206960000001
4724,15-Jul-1954,Unprovoked,swimming,M,,FATAL,Y,2100,Not Determined,19540715,THE BALKANS Slovenia Between Punta Grossa & Koper,45.54805899999999,13.7301877
4725,10-Jul-1954,Unprovoked,wading,F,4,Left leg,N,1145,2' shark,19540710,USA Louisiana Pontchartrain Beach,30.0332574,-90.0620163
4727,03-Jul-1954,Unprovoked,swimming,M,22,"Left thigh bitten, chest lacerated  & defense wounds on foot, fingers and hands",N,9999,"2.4 m [8'] shark, possibly a dusky shark",19540703,BERMUDA South shore  Elbow Beach,32.2723207,-64.7774598
4730,29-Jun-1954,Provoked,grabbed,M,35,Right elbow & forearm lacerated  PROVOKED INCIDENT,N,9999,Not Determined,19540629,"USA California Santa Monica, Los Angeles County",34.0194543,-118.4911912
4731,27-Jun-1954,Unprovoked,diving,M,30,"Shark bit right arm & shoulder, then Aken says, he ""knocked out"" the shark",N,1630,2.4 m [8']  shark,19540627,AUSTRALIA Queensland Fitzroy Island,-16.9336669,145.9943465
4734,May 1954,Unprovoked,no activity,Not Determined,,Foot severed,N,9999,Not Determined,19540500,PAPUA NEW GUINEA Madang Province Near Madang Town,-5.2218841,145.7856324
4736,Apr-1954,Provoked,spearfishing,M,,"Speared small shark, shark bit his thigh and/or buttock PROVOKED INCIDENT",N,9999,Not Determined,19540400,SUDAN? Red Sea Southern part ,19.4556063,35.2148469
4737,27-Feb-1954,Unprovoked,swimming,M,23,"FATAL, right thigh bitten ",Y,1715,Not Determined,19540227,"AUSTRALIA New South Wales The Entrance, near Gosford",-33.34861960000001,151.4938953
4738,30-Jan-1954,Unprovoked,swimming,M,,Abrasions to arm,N,9999,Not Determined,19540130,AUSTRALIA New South Wales Avoca Beach,-33.47198350000001,151.4279522
4739,22-Jan-1954,Unprovoked,spearfishing,M,30,Severe laceration to arm,N,9999,Not Determined,19540122,AUSTRALIA Torres Strait Naghir Island,-10.2543465,142.4811933
4740,22-Jan-1954,Unprovoked,floating,M,18,"Arm & left calf bitten, right leg lacerated",N,1305,White shark tooth fragment recovered from ankle & identified by Dr. W. I. Follett,19540122,"ARGENTINA Buenos Aires Province Miramar Beach, 46 km south of Mar de Plata, Buenos Aires ",-38.0054771,-57.5426106
4741,15-Jan-1954,Unprovoked,crouching,M,26,Back & thighs lacerated,N,1500,14' shark,19540115,"PAPUA NEW GUINEA Madang Province Singour, 60 miles south of Madang",-5.2218841,145.7856324
4742,1954,Unprovoked,no activity,M,,FATAL,Y,9999,Bull shark suspected due to freshwater habitat,19540000,"IRAN Karun River Hesamabad area of Shushtar, 420 km from the sea",0.0,0.0
4745,1954,Unprovoked,fishing,M,,Bitten on foot,N,9999,a small shark',19540000,USA Hawaii Moloka'i,21.1443935,-157.0226297
4746,1954,Unprovoked,swimming,M,12,Leg & abdomen lacerated,N,9999,Not Determined,19540000,"PAPUA NEW GUINEA West New Britain Province Volupai, Talasea",-5.269171,149.976424
4747,1954 (same day as  1954.00.00.f),Unprovoked,no activity,F,,FATAL,Y,9999,Bull shark suspected due to freshwater habitat,19540000,IRAN Karun River A village a short distance from Hesamabad,31.4811814,48.8713878
4748,1954 (same day as  1954.00.00.f),Unprovoked,no activity,M,,Survived,N,9999,Bull shark suspected due to freshwater habitat,19540000,"IRAN Karun River Hesamabad area of Shushtar, 420 km from the sea",0.0,0.0
4749,30-Dec-1953,Unprovoked,swimming,F,,Left calf lacerated,N,0800,Said to involve a >4 m [13'] shark,19531230,"SOUTH AFRICA Eastern Cape Province Second Beach, Port St. Johns",-31.6495797,29.5187464
4750,22-Dec-1953,Unprovoked,swimming,M,23,Lacerations to arm,N,9999,Not Determined,19531222,SOUTH AFRICA Eastern Cape Province Port Elizabeth,-33.9608369,25.6022423
4751,13-Dec-1953,Unprovoked,wading,M,16,Bruised shoulder chest & foot,N,1200,Not Determined,19531213,AUSTRALIA Queensland Palm Beach,-28.1208897,153.47257
4752,Dec-1953,Unprovoked,,M,,"No Injury, shark charged surfski",N,9999,3.7 [12'] shark,19531200,AUSTRALIA New South Wales Maroubra Beach,-33.9495,151.2437
4753,Oct-1953,Provoked,no activity,M,,"Hit by tail of speared shark, fell & hit head on rock & out cold for 30 minutes  PROVOKED INCIDENT",N,9999,Not Determined,19531000,"AUSTRALIA New South Wales Boat Harbour, north of Cronulla",-34.0561284,151.150184
4754,27-Sep-1953,Unprovoked,no activity,M,23,FATAL,Y,9999,Not Determined,19530927,PHILIPPINES Luzon Island Bohol,9.88904,124.218078
4758,02-Sep-1953,Unprovoked,crabbing,M,,Leg & foot bitten,N,9999,"Hammerhead shark, 1.5 m [5'] ",19530902,"USA Hawaii Waiau, Pearl Harbor, O'ahu",21.3930556,-157.9625
4760,31-Jul-1953,Unprovoked,wading,F,18,FATAL,Y,9999,Not Determined,19530731,MEXICO Colima Manzanillo,19.1138094,-104.3384616
4761,26-Jul-1953,Unprovoked,spearfishing,M,15,"FATAL, thigh bitten",Y,0915,3 m [10'] shark seen in vicinity,19530726,"USA Hawaii Maile Beach, O'ahu",21.4191739,-158.1778478
4762,16-Jul-1953,Provoked,fishing,M,,Arm bitten by hooked shark PROVOKED INCIDENT,N,9999,Not Determined,19530716,"USA California Santa Catalina Island, Los Angeles County",33.3878856,-118.4163103
4763,15-Jul-1953,Unprovoked,standing,F,26,Lower left leg severely bitten,N,9999,Not Determined,19530715,"USA Florida Juno Beach, Palm Beach County",26.8797819,-80.0533743
4766,04-Jul-1953,Unprovoked,dragged,M,,"Shark made 3 passes at him, lacerating his calf, shin and ankle ",N,0800,Not Determined,19530704,USA Hawaii Kaula Rock near Niihau ,21.6547332,-160.5421111
4767,01-Jul-1953,Unprovoked,retrieving,M,19,Hand severely bitten,N,9999,Not Determined,19530700,PANAMA Gulf of Panama 60 miles offshore ,0.0,0.0
4770,04-Apr-1953,Unprovoked,swimming,F,19,Lacerations to right foot,N,1800,Not Determined,19530404,USA Texas South Padre Island,26.1118401,-97.16812569999999
4771,Apr-1953,Unprovoked,no activity,M,,Arm severed,N,9999,"1.5 m [5'] shark, probable bull shark",19530400,"IRAN Karun River near Ahvaz, 275 km from the sea",31.3183272,48.6706187
4772,Apr-1953,Unprovoked,swimming,M,,Right forearm severed at the elbow,N,9999,"1.5 m [5'] shark, probable bull shark",19530400,"IRAN Karun River near Ahvaz, 275 km from the sea",31.3183272,48.6706187
4773,Mar-1953,Unprovoked,spearfishing,M,23,Arm lacerated,N,9999,Not Determined,19530322,"AUSTRALIA New South Wales Long Reef, Collaroy",-33.74195840000001,151.3170328
4776,Mar-1953,Unprovoked,went,M,,"FATAL, arm & leg severed & shark smashed at his body with its tail  ",Y,9999,Tiger shark,19530300,"PAPUA NEW GUINEA Milne Bay Province Off Rossel Island, Louisiade Archipelago",-11.3596841,154.1831264
4777,18-Feb-1953,Provoked,cutting,M,,Hand bitten  PROVOKED INCIDENT  ,N,9999,Not Determined,19530218,"USA Hawaii Barbers Point, O'ahu",0.0,0.0
4778,15-Feb-1953,Unprovoked,spearfishing,M,25,"Shark tore off face mask, divers face, nose & chin lacerated",N,1800,Wobbegong shark,19530215,AUSTRALIA New South Wales Cave at Shell Harbour,-34.5855194,150.8732027
4780,20-Jan-1953,Provoked,fishing,M,61,Finger bitten by hooked shark PROVOKED INCIDENT,N,9999,Not Determined,19530120,AUSTRALIA South Australia Largs Bay,-34.8264044,138.4896899
4783,1953,Unprovoked,washing,M,,"FATAL, torso bitten",Y,9999,Not Determined,19530000,"PAPUA NEW GUINEA Bougainville (North Solomons) Kahuli, Buka Island",-5.2384267,154.6451287
4784,1953,Unprovoked,standing,F,,Leg lacerated thigh to ankle,N,9999,Not Determined,19530000,"USA Florida Juno Beach, Palm Beach County",26.8797819,-80.0533743
4785,24-Dec-1952,Unprovoked,lying,M,,"No injury, board bumped by shark",N,9999,Not Determined,19521224,"AUSTRALIA Victoria Portsea Beach, near Melbourne",-38.3339592,144.7019091
4786,21-Dec-1952,Unprovoked,setting,M,25,Bitten on thigh and buttocks,N,9999,2.4 m [8'] shark,19521221,AUSTRALIA South Australia Cape Douglas,-38.0021454,140.6106849
4788,04-Aug-1952,Provoked,fishing,M,17,Bitten by hooked shark                      PROVOKED INCIDENT,N,9999,200-lb shark,19520804,ITALY Genoa  Province Riva Trigoso,44.2599872,9.4227486
4789,03-Aug-1952,Unprovoked,swimming,M,,"FATAL, disappeared while swimming, shark bite found on right side of body",Y,9999,Not Determined,19520803,"USA Hawaii Between Ala Moana Channel & Kewalo Basin, O'ahu",21.2919685,-157.8581021
4790,7-Dec-1952,Unprovoked,surfing,M,17,"FATAL, leg lacerated  ",Y,1400,"White shark,4.6 m [15'] ",19521207,"USA California Pacific Grove, Monterey Bay, Monterey County",36.6177374,-121.9166215
4791,03-Dec-1952,Unprovoked,swimming,M,40,"FATAL, left arm severed below the elbow ",Y,9999,>6.7 m [22']  shark,19521203,"USA Hawaii Maile Beach, O'ahu",21.4191739,-158.1778478
4792,12-Oct-1952,Unprovoked,fishing,M,,Right thigh bitten ,N,9999,Not Determined,19521012,"PAPUA NEW GUINEA Abau Sub District, Central Province Lalaura Village",-10.1327993,148.8289611
4794,05-Aug-1952,Provoked,fishing,Not Determined,19,Multiple injuries PROVOKED INCIDENT,Y,0200,2m shark,19520805,ITALY Teramo Giulianova,42.7538138,13.9665051
4796,27-Jul-1952,Provoked,fishing,M,43,Finger bitten by hooked shark PROVOKED INCIDENT,N,9999,a small shark',19520727,USA South Carolina Seabrook Beach,32.5682392,-80.15926270000001
4797,27-Jul-1952,Provoked,fishing,M,34,Thumb bitten by hooked shark PROVOKED INCIDENT,N,9999,a small shark',19520727,USA South Carolina Seabrook Beach,32.5682392,-80.15926270000001
4799,13-Jul-1952,Provoked,fishing,M,34,Part of hand removed by shark he had caught PROVOKED INCIDENT,N,9999,Not Determined,19520713,"USA California San Diego, San Diego County",32.715738,-117.1610838
4800,05-Jul-1952,Unprovoked,carrying,M,,Leg lacerated & bone fractured ,N,1100,"Tiger shark, 1.5 m [5'] ",19520705,"USA Puerto Rico Mona Island, 40 miles west of the mainland ",18.0829054,-67.8927472
4801,27-May-1952,Unprovoked,swimming,M,,Foot & swimfin bitten,N,1000,"White shark, 2 m to 4 m [6'9"" to 13'] ",19520527,"USA California Imperial Beach, San Diego County",32.5839444,-117.1130849
4805,Apr-1952,Provoked,spearfishing,M,,Right forearm lacerated by speared shark PROVOKED INCIDENT,N,9999,"a ""small slim brown shark""",19520400,"SUDAN Red Sea State Suakin Harbor, Suakin Island",19.1166667,37.3333333
4807,23-Jan-1952,Provoked,speared,M,,Right foot lacerated by a larger shark. Lost several toes  PROVOKED INCIDENT,N,9999,Not Determined,19520123,MAURITIUS Port Louis Province Port Louis,-20.1608744,57.5011551
4808,07-Jan-1952,Unprovoked,surfing,M,,Bitten on left calf and ankle,N,9999,8' shark,19520107,AUSTRALIA New South Wales Evans Head,-29.1188889,153.4315059
4809,1952-1954,Unprovoked,recovering,M,,FATAL,Y,9999,Not Determined,19520000,"LIBERIA Montserrado West Breakwater, Monrovia / Freeport",6.343720299999999,-10.7929537
4810,1952,Unprovoked,spearfishing,M,,"Arm bitten, surgically amputated",N,9999,Not Determined,19520000,"PAPUA NEW GUINEA Admiralty Islands, Manus Province Manus Island",-2.0941169,146.8760951
4811,1952,Unprovoked,spearfishing,M,,"FATAL,  ""No remains""",Y,9999,"""Attacked by a number of sharks""",19520000,"PAPUA NEW GUINEA Admiralty Islands, Manus Province Momote, Manus Island",-2.0622554,147.4245486
4812,1952,Unprovoked,spearfishing,M,27,"FATAL, lower abdomen removed ",Y,9999,Not Determined,19520000,"PAPUA NEW GUINEA New Ireland Province Samo Plantation, east coast ",-3.1422545,152.5634495
4813,1952,Unprovoked,swimming,M,,"FATAL, groin bitten ",Y,9999,Not Determined,19520000,USA Florida Near Key West,24.5550593,-81.7799871
4814,21-Dec-1951,Unprovoked,swimming,M,15,"FATAL, right leg, thighs & hands bitten  ",Y,9999,Not Determined,19511221,MOZAMBIQUE Bay of Maputu Catembe ,-26.0145848,32.5665614
4815,16-Dec-1951,Provoked,spearfishing,M,18,Speared shark lacerated left leg above ankle  PROVOKED INCIDENT,N,9999,"Wobbegong shark, 1.8 m [6'] ",19511216,AUSTRALIA New South Wales North Bondi,-33.8857289,151.280712
4817,6-Dec-1951,Unprovoked,treading,M,21,FATAL,Y,1600,2.4 m [8']  shark,19511206,"AUSTRALIA New South Wales Merewether Beach, Newcastle",-32.9465493,151.7599466
4818,29-Nov-1951,Unprovoked,swimming,M,23,Thigh bruised & abraded,N,1300,"White shark, 1.8 m [6'] ",19511129,"SOUTH AFRICA KwaZulu-Natal South Beach, Durban",-29.8578378,31.034184
4819,28-Nov-1951,Unprovoked,fishing,M,81,Lacerations to left hand,N,9999,Not Determined,19511128,JAMAICA Kingston Parish Kingston Harbor,17.9525424,-76.8050018
4820,28-Nov-1951,Unprovoked,treading,M,24,"Leg severed below knee, defense wounds on hand",N,1715,"White shark, 2.4 m [8'] ",19511128,SOUTH AFRICA KwaZulu-Natal Winkelspruit,-30.1046546,30.8527655
4822,22-Oct-1951,Unprovoked,swimming,M,42,"FATAL, leg severed, shark dragged him through hole in protective net",Y,1910,Not Determined,19511022,"AUSTRALIA Queensland Ocean baths, Kissing Point Beach ",-22.575197,144.0847926
