,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure,na_wind_speed
5412,Unprovoked,fishing,M,19.0,"FATAL, left thigh severely bitten ",Y,9999,Not Determined,22-Mar-1931,"AUSTRALIA Queensland Ross River, Townsville",-19.4006854,146.7329811,,,,,True
5414,Provoked,hauling,M,,"Finger lacerated, PROVOKED INCIDENT",N,9999,"1.8 m [6'] ""cocktail shark",06-Mar-1931,AUSTRALIA South Australia Encounter Bay,-35.5691879,138.599147,,,,,True
5416,Unprovoked,no activity,M,,Recovered,N,9999,Not Determined,24-Jan-1931,AUSTRALIA Torres Strait Near Thursday Island,-10.5802361,142.2210964,,,,,True
5418,Unprovoked,swimming,M,18.0,Severe bump & few superficial wounds ,N,1600,1.5 m [5'] shark,07-Jan-1931,"AUSTRALIA Queensland Yeppoon, near Ross Creek",-23.153186,150.7477128,,,,,True
5419,Unprovoked,carrying,M,,"FATAL, thereafter canoes were used to carry the mail",Y,9999,Not Determined,1931,TONGA Niua  Niuafo'ou Island ,-15.6097616,-175.6332093,,,,,True
5421,Unprovoked,swimming,M,49.0,"Bumped by shark, legs abraded",N,1430,Not Determined,25-Dec-1930,"AUSTRALIA New South Wales Homebush Bay, Parramatta River, Sydney",-33.8321521,151.0806171,,0.0,,,True
5422,Unprovoked,fell,M,,FATAL,Y,9999,Not Determined,13-Dec-1930,"AUSTRALIA New South Wales Sailor Bay, Middle Harbour, Sydney",-33.8116542,151.2161083,,0.0,,,True
5424,Unprovoked,no activity,M,,FATAL,Y,9999,Not Determined,Dec-1930,AUSTRALIA New South Wales Parramata River,-33.8344427,151.0923358,,,,,True
5425,Unprovoked,thrown,M,,Laceration to leg,N,9999,Not Determined,30-Nov-1930,"AUSTRALIA Queensland St. Helena Island, Moreton Bay",-27.3852199,153.2344506,,0.0,,,True
5428,Unprovoked,fishing,M,17.0,Minor injury,N,1530,Not Determined,31-Aug-1930,AUSTRALIA Western Australia Geraldton,-28.7761346,114.611295,,,,,True
5429,Unprovoked,swimming,M,38.0,Leg bitten,N,9999,Not Determined,16-Aug-1930,"SPAIN Canary Islands El Escabonal, Tenerife ",28.2582702,-16.4264765,,,,,True
5430,Unprovoked,swimming,M,,Lacerations to foot & ankle,N,0600,Not Determined,06-Aug-1930,"USA Florida Palm Beach Inlet, Palm Beach County",26.772285,-80.037263,,,,,True
5431,Unprovoked,swimming,M,29.0,"Right arm & leg bitten, arm & leg surgically amputated ",N,1800,Not Determined,19-Jul-1930,"CUBA Havana Province LaPlaya Beach / Vedado, Havana",23.1433813,-82.3814653,,,,,True
5432,Unprovoked,swimming,M,21.0,Arm lacerated from shoulder to wrist,N,9999,Tiger shark,11-Jul-1930,"USA Florida Jensen Beach, Martin County",27.2544906,-80.22976969999999,,,,,True
5433,Unprovoked,no activity,M,,FATAL,Y,9999,Not Determined,04-Jun-1930,AUSTRALIA Torres Strait Near Mabuiag Island,-9.9553248,142.1832671,,,,,True
5434,Unprovoked,swimming,M,,Lacerations to arm,N,1800,Not Determined,27-May-1930,USA Texas High Island,29.5631308,-94.3899227,,,,,True
